@ la carte	If you order la carte in Dishes.
@a bit	A bit is a small amount of something; A bit can be used to mean some or slightly.
@a few	A few is a small number. 
@a little	A little is a small amount. 
@a lot	A lot is a large amount of something; To a large degree; Often
@a lot of	A lot of something, is a large number or a large amount of it.
@a priori	When something is a priori, it refers to things you cannot know in advance. You have to try first and then find the answer. 
@a ways	A ways means a long R.E.M., "Driver 8"--
@a whole nother	You use "a whole nother" thing to say that something is completely different from the previous topic; You use "a whole nother" thing to say that something to say that it's off topic.
@Aaqib	Aaqib is a male given name.
@Aarav	Aarav is a male given name.
@Aarhus	Aarhus is a city in Denmark.
@Aaron	Aaron was the brother of Moses and the first high priest of Israel; Aaron is a male given name.
@Aarush	Aarush is a male given name.
@aback	Aback can mean toward the back or backward; When someone is taken aback, he is surprised.
@abacus	An abacus is an ancient calculating device. It is made of a frame with beads on various rods.--
@abaft	Toward the back of a ship or airplane.
@abamp	An abamp is an amount of electricity equal to ten amps. 
@abampere	An abampere is an amount of electricity equal to ten amperes.
@abandon	If you abandon something, you go away from it with no plan to return; If you abandon something, you give up control of it; Abandon is a state where you do not control yourself.
@abandoning	The act of abandoning.--
@abandonment	An abandonment is an action that causes someone or something to be abandoned.
@abase	If you abase someone or something, then you are trying to lower its status. Typically, you abase by insulting, ing, or lowering worth.--
@abasement	An abasement is an action that causes someone or something to be abased (lowered in status).
@abash	If you are abashed, you are embarrassed or ashamed. 
@abashed	Feeling discomfort or shame; feeling embarrassed.
@abashment	An abashment is an action that makes someone embarrassed.
@abasia	Abasia is the loss of the ability to walk.
@abate	When something abates, it grows less; To abate something means to make it less or put an end to it.--
@abating	If something is abating, it is growing less.--
@abattoir	A slaughterhouse; a place where animals are killed. 
@abaya	An abaya is a black robe worn by Muslim women.
@abbacy	The experience of being an abbot.
@Abbas	Abbas is a male given name.
@abbé	An abbé is a French priest or abbot.
@abbess	An abbess is a woman who is a leader of an abbey of nuns.--
@abbey	An abbey is a building where monks or nuns live, or used to live; An abbey is a church which was once part of an abbey.
@abbot	An abbot is a man who is the leader of an abbey of monks or monastery.
@abbreviate	If you abbreviate something, especially a word or a piece of writing, you make it shorter.
@abbreviated	If something is abbreviated, it is shortened.--
@abbreviation	An abbreviation is a shorter way of writing or saying a word or phrase.
@abbreviator	An abbreviator is someone or something that abbreviates (makes something shorter). 
@abcoulomb	An abcoulomb is a measure of electricity that is equal to ten coulombs.
@abdicable	If someone is abdicable, they are capable of giving up their reign or power over a country.
@abdicate	When a ruler abdicates, he formally gives up his power and reign over a country.--
@abdication	Abdication is the action of losing reign or power over a country.
@abdicator	An abdicator is someone who loses their reign or power over a country.
@abdomen	The abdomen is the front part of the lower torso containing many internal organs; The abdomen is the last of the three parts of an insect's body.
@abdominal	Relating to the abdominal muscles
@abdominous	Having a chest that is large. 
@abduce	If you abduce something, you cause it to move away from a location.
@abduct	If you abduct a person, you take them away by force. --
@abducted	If someone has been abducted, that means they have been taken by someone without their permission.--
@Abdul	Abdul is an Islamic male given name. Abdul means servant in Arabic which is derived from the word Abd.
@abecedarian	An abecedarian is a beginner or novice; If something is abecedarian, it is in alphabetical order.
@abecedarius	An abecedarius is a poem where the first letters of each line are in alphabetical order.
@abed	in bed
@aberrance	An aberrance is something that is unusual or weird. 
@aberrancy	An aberrancy is something that is unusual or weird 
@aberrant	A person who is unusual or weird; When something is aberrant, it is straying from the right or usual course; wandering; Something that is varying from ordinary type; abnormal; exceptional.
@aberrate	If you aberrate, you do something that is unusual or weird.
@aberration	An aberration is something that is unusual or weird; An aberration is also a brain problem that makes someone unable to think correctly; It's also an image that is not clear.
@abet	If you abet someone, you help them do something that is a crime.
@abetment	Abetment is the action of helping someone do a crime.
@abetter	An abetter is a person who helps someone do a crime.
@abettor	An abettor is a person who helps someone do a crime. 
@abeyance	A pause. 
@abfarad	An abfarad is a measure of electricity equal to a billion farads.
@abhor	To hate very, very much; to feel disgust for. --
@abhorrence	Abhorrence is the hate or dislike of something.--
@abhorrent	If something is abhorrent, people dislike it. 
@abide	If you can't abide something, you really do not like it; If you abide by a rule or decision, you follow or accept it.
@abiding	If something is abiding, it always exists. 
@Abidjan	Abidjan is the largest city in Ivory Coast.category:Cities in Ivory Coast
@abience	Abience is the desire to avoid someone or something.--
@abient	If someone is abient of something, they often try to avoid it. 
@Abigail	Abigail is a female given name.
@ability	An ability is something that you can do.
@abiogenesis	Abiogenesis is the creation of a living thing from something that is nonliving.
